iter; numVertices; distance; numEdges; edgeProbability; TS_D_ok; TS_D_time; BF_D_ok; BF_D_time; TS_R_ok; TS_R_time; BF_R_ok; BF_R_time; 
0; 10; 150; 45; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 11; 30; 19; 35; 0; 0; 0; 0; 1; 1; 0; 0; 
0; 11; 40; 26; 47; 1; 2; 0; 0; 1; 139; 0; 0; 
0; 11; 50; 49; 89; 1; 0; 1; 0; 1; 1; 1; 0; 
0; 11; 60; 28; 51; 0; 0; 0; 0; 1; 0; 1; 0; 
0; 11; 70; 39; 71; 1; 0; 1; 0; 1; 1; 1; 0; 
0; 11; 80; 43; 78; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 11; 90; 51; 93; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 11; 100; 54; 98; 1; 0; 1; 1; 1; 0; 1; 1; 
0; 11; 110; 55; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 11; 120; 55; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 11; 130; 55; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 11; 140; 55; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 11; 150; 55; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 12; 30; 14; 21; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 12; 40; 36; 55; 1; 151; 0; 0; 1; 4; 1; 40; 
0; 12; 50; 31; 47; 0; 0; 0; 0; 1; 12; 0; 0; 
0; 12; 60; 40; 61; 1; 3; 0; 0; 1; 0; 1; 0; 
0; 12; 70; 51; 77; 1; 0; 1; 1; 1; 1; 0; 0; 
0; 12; 80; 61; 92; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 12; 90; 60; 91; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 12; 100; 60; 91; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 12; 110; 65; 98; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 12; 120; 66; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 12; 130; 66; 100; 1; 0; 1; 1; 1; 0; 1; 0; 
0; 12; 140; 66; 100; 1; 0; 1; 0; 1; 0; 1; 0; 
0; 12; 150; 66; 100; 1; 0; 1; 0; 1; 0; 1; 1; 
0; 13; 30; 21; 27; 0; 0; 0; 0; 0; 0; 0; 0; 
0; 13; 40; 25; 32; 0; 0; 0; 0; 0; 0; 0; 0; 
