iter; numVertices; distance; numEdges; edgeProbability; TS_D_ok; TS_D_time; TS_R_ok; TS_R_time; 
0; 10; 20; 4; 9; 0; 0; 0; 0; 
0; 10; 22; 5; 11; 0; 0; 0; 0; 
0; 10; 24; 3; 7; 0; 0; 0; 0; 
0; 10; 26; 9; 20; 0; 0; 0; 0; 
0; 10; 28; 6; 13; 0; 0; 0; 0; 
0; 10; 30; 7; 16; 0; 0; 0; 0; 
0; 10; 32; 24; 53; 0; 0; 1; 3; 
0; 10; 34; 13; 29; 0; 0; 0; 0; 
0; 10; 36; 13; 29; 0; 0; 0; 0; 
0; 10; 38; 17; 38; 1; 1; 0; 0; 
0; 10; 40; 14; 31; 0; 0; 0; 0; 
0; 10; 42; 11; 24; 0; 0; 0; 0; 
0; 10; 44; 19; 42; 1; 30; 1; 7; 
0; 10; 46; 29; 64; 1; 1; 1; 0; 
0; 10; 48; 23; 51; 1; 1; 1; 2; 
0; 10; 50; 14; 31; 0; 0; 0; 0; 
0; 12; 20; 7; 11; 0; 0; 0; 0; 
0; 12; 22; 11; 17; 0; 0; 0; 0; 
0; 12; 24; 12; 18; 0; 0; 0; 0; 
0; 12; 26; 12; 18; 0; 0; 0; 0; 
0; 12; 28; 11; 17; 0; 0; 0; 0; 
0; 12; 30; 11; 17; 0; 0; 0; 0; 
0; 12; 32; 16; 24; 0; 0; 0; 0; 
0; 12; 34; 17; 26; 0; 0; 0; 0; 
0; 12; 36; 16; 24; 0; 0; 0; 0; 
0; 12; 38; 25; 38; 0; 0; 1; 25; 
0; 12; 40; 24; 36; 0; 0; 1; 0; 
0; 12; 42; 27; 41; 0; 0; 1; 3; 
0; 12; 44; 24; 36; 0; 0; 0; 0; 
0; 12; 46; 34; 52; 1; 3; 1; 1; 
0; 12; 48; 23; 35; 1; 1; 1; 9; 
0; 12; 50; 32; 48; 1; 1; 1; 4; 
0; 14; 20; 13; 14; 0; 0; 0; 0; 
0; 14; 22; 10; 11; 0; 0; 0; 0; 
0; 14; 24; 14; 15; 0; 0; 0; 0; 
0; 14; 26; 17; 19; 0; 0; 0; 0; 
0; 14; 28; 11; 12; 0; 0; 0; 0; 
0; 14; 30; 19; 21; 0; 0; 0; 0; 
0; 14; 32; 19; 21; 0; 0; 0; 0; 
0; 14; 34; 18; 20; 0; 0; 0; 0; 
0; 14; 36; 28; 31; 0; 0; 1; 15; 
0; 14; 38; 30; 33; 0; 0; 1; 25; 
0; 14; 40; 24; 26; 0; 0; 0; 0; 
0; 14; 42; 32; 35; 0; 0; 0; 0; 
0; 14; 44; 32; 35; 0; 0; 0; 0; 
0; 14; 46; 36; 40; 0; 0; 1; 1; 
0; 14; 48; 31; 34; 0; 0; 1; 11; 
0; 14; 50; 51; 56; 1; 7; 1; 0; 
0; 16; 20; 11; 9; 0; 0; 0; 0; 
0; 16; 22; 13; 11; 0; 0; 0; 0; 
0; 16; 24; 21; 18; 0; 0; 0; 0; 
0; 16; 26; 19; 16; 0; 0; 0; 0; 
0; 16; 28; 14; 12; 0; 0; 0; 0; 
0; 16; 30; 30; 25; 0; 0; 0; 0; 
0; 16; 32; 22; 18; 0; 0; 0; 0; 
0; 16; 34; 30; 25; 0; 0; 0; 0; 
0; 16; 36; 51; 43; 1; 39; 1; 0; 
0; 16; 38; 32; 27; 0; 0; 0; 0; 
0; 16; 40; 38; 32; 0; 0; 1; 133; 
0; 16; 42; 41; 34; 0; 0; 1; 12; 
0; 16; 44; 37; 31; 0; 0; 1; 50; 
0; 16; 46; 50; 42; 1; 1; 1; 285; 
0; 16; 48; 56; 47; 1; 57; 1; 2; 
0; 16; 50; 52; 43; 0; 0; 1; 8; 
0; 18; 20; 18; 12; 0; 0; 0; 0; 
0; 18; 22; 19; 12; 0; 0; 0; 0; 
0; 18; 24; 26; 17; 0; 0; 0; 0; 
0; 18; 26; 35; 23; 0; 0; 0; 0; 
0; 18; 28; 25; 16; 0; 0; 0; 0; 
0; 18; 30; 31; 20; 0; 0; 0; 0; 
0; 18; 32; 29; 19; 0; 0; 0; 0; 
0; 18; 34; 30; 20; 0; 0; 0; 0; 
0; 18; 36; 44; 29; 0; 0; 1; 76; 
0; 18; 38; 39; 25; 0; 0; 0; 0; 
0; 18; 40; 47; 31; 0; 0; 1; 2; 
0; 18; 42; 63; 41; 0; 0; 1; 0; 
0; 18; 44; 65; 42; 1; 14; 1; 3; 
0; 18; 46; 57; 37; 0; 0; 1; 24; 
0; 18; 48; 60; 39; 1; 66; 1; 7; 
0; 18; 50; 85; 56; 1; 16; 1; 1; 
0; 20; 20; 18; 9; 0; 0; 0; 0; 
0; 20; 22; 18; 9; 0; 0; 0; 0; 
0; 20; 24; 25; 13; 0; 0; 0; 0; 
0; 20; 26; 40; 21; 0; 0; 0; 0; 
0; 20; 28; 44; 23; 0; 0; 0; 0; 
0; 20; 30; 39; 21; 0; 0; 0; 0; 
0; 20; 32; 40; 21; 0; 0; 0; 0; 
0; 20; 34; 37; 19; 0; 0; 0; 0; 
0; 20; 36; 60; 32; 0; 0; 1; 18; 
0; 20; 38; 55; 29; 1; 185; 1; 28; 
0; 20; 40; 61; 32; 1; 43; 1; 52; 
0; 20; 42; 60; 32; 1; 18; 1; 61; 
0; 20; 44; 65; 34; 1; 215; 1; 135; 
0; 20; 46; 90; 47; 0; 0; 1; 0; 
0; 20; 48; 93; 49; 1; 3; 1; 0; 
0; 20; 50; 86; 45; 1; 19; 1; 4; 
0; 22; 20; 32; 14; 0; 0; 0; 0; 
0; 22; 22; 21; 9; 0; 0; 0; 0; 
0; 22; 24; 31; 13; 0; 0; 0; 0; 
0; 22; 26; 36; 16; 0; 0; 0; 0; 
0; 22; 28; 41; 18; 0; 0; 0; 0; 
0; 22; 30; 51; 22; 0; 0; 0; 0; 
0; 22; 32; 57; 25; 0; 0; 0; 0; 
0; 22; 34; 71; 31; 0; 0; 1; 11; 
0; 22; 36; 85; 37; 1; 204; 1; 2; 
